lat,lon,co2
89.5,-180.0,-9999.0
89.5,-177.5,-9999.0
89.5,-175.0,-9999.0
89.5,-172.5,-9999.0
89.5,-170.0,-9999.0
89.5,-167.5,-9999.0
89.5,-165.0,-9999.0
89.5,-162.5,-9999.0
89.5,-160.0,-9999.0
89.5,-157.5,-9999.0
89.5,-155.0,-9999.0
89.5,-152.5,-9999.0
89.5,-150.0,-9999.0
89.5,-147.5,-9999.0
89.5,-145.0,-9999.0
89.5,-142.5,-9999.0
89.5,-140.0,-9999.0
89.5,-137.5,-9999.0
89.5,-135.0,0.000375884
89.5,-132.5,-9999.0
89.5,-130.0,-9999.0
89.5,-127.5,0.00036867897
89.5,-125.0,-9999.0
89.5,-122.5,-9999.0
89.5,-120.0,-9999.0
89.5,-117.5,-9999.0
89.5,-115.0,-9999.0
89.5,-112.5,-9999.0
89.5,-110.0,-9999.0
89.5,-107.5,-9999.0
89.5,-105.0,-9999.0
89.5,-102.5,-9999.0
89.5,-100.0,-9999.0
89.5,-97.5,-9999.0
89.5,-95.0,-9999.0
89.5,-92.5,-9999.0
89.5,-90.0,-9999.0
89.5,-87.5,-9999.0
89.5,-85.0,-9999.0
89.5,-82.5,-9999.0
89.5,-80.0,-9999.0
89.5,-77.5,-9999.0
89.5,-75.0,-9999.0
89.5,-72.5,-9999.0
89.5,-70.0,-9999.0
89.5,-67.5,-9999.0
89.5,-65.0,-9999.0
89.5,-62.5,-9999.0
89.5,-60.0,-9999.0
89.5,-57.5,-9999.0
89.5,-55.0,-9999.0
89.5,-52.5,-9999.0
89.5,-50.0,-9999.0
89.5,-47.5,-9999.0
89.5,-45.0,-9999.0
89.5,-42.5,0.000381858
89.5,-40.0,-9999.0
89.5,-37.5,-9999.0
89.5,-35.0,-9999.0
89.5,-32.5,-9999.0
89.5,-30.0,-9999.0
89.5,-27.5,-9999.0
89.5,-25.0,-9999.0
89.5,-22.5,-9999.0
89.5,-20.0,-9999.0
89.5,-17.5,-9999.0
89.5,-15.0,-9999.0
89.5,-12.5,-9999.0
89.5,-10.0,-9999.0
89.5,-7.5,-9999.0
89.5,-5.0,-9999.0
89.5,-2.5,-9999.0
89.5,0.0,-9999.0
89.5,2.5,-9999.0
89.5,5.0,-9999.0
89.5,7.5,-9999.0
89.5,10.0,-9999.0
89.5,12.5,-9999.0
89.5,15.0,0.000377023
89.5,17.5,-9999.0
89.5,20.0,0.000378552
89.5,22.5,-9999.0
89.5,25.0,-9999.0
89.5,27.5,-9999.0
89.5,30.0,-9999.0
89.5,32.5,-9999.0
89.5,35.0,-9999.0
89.5,37.5,0.000378676
89.5,40.0,-9999.0
89.5,42.5,-9999.0
89.5,45.0,-9999.0
89.5,47.5,-9999.0
89.5,50.0,0.000385285
89.5,52.5,-9999.0
89.5,55.0,-9999.0
89.5,57.5,-9999.0
89.5,60.0,-9999.0
89.5,62.5,-9999.0
89.5,65.0,-9999.0
89.5,67.5,-9999.0
89.5,70.0,-9999.0
89.5,72.5,-9999.0
89.5,75.0,-9999.0
89.5,77.5,-9999.0
89.5,80.0,-9999.0
89.5,82.5,-9999.0
89.5,85.0,-9999.0
89.5,87.5,-9999.0
89.5,90.0,-9999.0
89.5,92.5,-9999.0
89.5,95.0,-9999.0
89.5,97.5,-9999.0
89.5,100.0,-9999.0
89.5,102.5,-9999.0
89.5,105.0,-9999.0
89.5,107.5,-9999.0
89.5,110.0,-9999.0
89.5,112.5,-9999.0
89.5,115.0,-9999.0
89.5,117.5,-9999.0
89.5,120.0,-9999.0
89.5,122.5,-9999.0
89.5,125.0,-9999.0
89.5,127.5,-9999.0
89.5,130.0,-9999.0
89.5,132.5,-9999.0
89.5,135.0,-9999.0
89.5,137.5,-9999.0
89.5,140.0,-9999.0
89.5,142.5,-9999.0
89.5,145.0,-9999.0
89.5,147.5,-9999.0
89.5,150.0,-9999.0
89.5,152.5,-9999.0
89.5,155.0,-9999.0
89.5,157.5,-9999.0
89.5,160.0,-9999.0
89.5,162.5,-9999.0
89.5,165.0,-9999.0
89.5,167.5,-9999.0
89.5,170.0,-9999.0
89.5,172.5,-9999.0
89.5,175.0,-9999.0
89.5,177.5,-9999.0
88.0,-180.0,0.0003740165
88.0,-177.5,0.00037747467
88.0,-175.0,0.00038145148
88.0,-172.5,0.0003764815
88.0,-170.0,0.00037628
88.0,-167.5,0.0003782805
88.0,-165.0,0.000379043
88.0,-162.5,0.000377071
88.0,-160.0,0.0003792492
88.0,-157.5,0.00037827075
88.0,-155.0,0.000376798
88.0,-152.5,0.00037531083
88.0,-150.0,0.00037709126
88.0,-147.5,0.00037729152
88.0,-145.0,0.000382982
88.0,-142.5,0.00037570499
88.0,-140.0,0.00037618374
88.0,-137.5,0.0003777475
88.0,-135.0,0.00037977064
88.0,-132.5,0.00037708334
88.0,-130.0,0.000382038
88.0,-127.5,0.000378156
88.0,-125.0,0.00037777825
88.0,-122.5,0.000378367
88.0,-120.0,0.000379437
88.0,-117.5,0.00038364498
88.0,-115.0,0.00037696477
88.0,-112.5,0.0003780225
88.0,-110.0,0.00037691224
88.0,-107.5,0.00038513102
88.0,-105.0,0.00037502372
88.0,-102.5,0.000375093
88.0,-100.0,0.000374172
88.0,-97.5,0.000379881
88.0,-95.0,0.0003768875
88.0,-92.5,0.0003805925
88.0,-90.0,0.00037934503
88.0,-87.5,0.00037929276
88.0,-85.0,0.0003780475
88.0,-82.5,0.00038100034
88.0,-80.0,0.00038205498
88.0,-77.5,0.0003780614
88.0,-75.0,0.0003754437
88.0,-72.5,0.0003749555
88.0,-70.0,0.00037190167
88.0,-67.5,0.0003808055
88.0,-65.0,0.000379854
88.0,-62.5,0.00037768675
88.0,-60.0,0.0003793914
88.0,-57.5,0.00037989032
88.0,-55.0,0.0003788065
88.0,-52.5,0.00038069824
88.0,-50.0,0.000379372
88.0,-47.5,-9999.0
88.0,-45.0,0.000380721
88.0,-42.5,0.0003809105
88.0,-40.0,0.000376955
88.0,-37.5,0.0003755795
88.0,-35.0,0.00037955798
88.0,-32.5,0.00037840052
88.0,-30.0,-9999.0
88.0,-27.5,0.000375671
88.0,-25.0,0.00037603267
88.0,-22.5,-9999.0
88.0,-20.0,0.0003779369
88.0,-17.5,0.00037711766
88.0,-15.0,-9999.0
88.0,-12.5,0.0003751585
88.0,-10.0,0.000381188
88.0,-7.5,0.0003790378
88.0,-5.0,0.000376061
88.0,-2.5,0.000379271
88.0,0.0,0.0003792314
88.0,2.5,0.00037516266
88.0,5.0,-9999.0
88.0,7.5,-9999.0
88.0,10.0,0.0003847425
88.0,12.5,0.00038273
88.0,15.0,-9999.0
88.0,17.5,0.0003773265
88.0,20.0,0.00037709498
88.0,22.5,0.00037735899
88.0,25.0,-9999.0
88.0,27.5,0.000377217
88.0,30.0,0.000379273
88.0,32.5,0.00038115948
88.0,35.0,0.00038654997
88.0,37.5,0.000382156
88.0,40.0,-9999.0
