lat,lon,co2
89.5,-180.0,-9999.0
89.5,-177.5,-9999.0
89.5,-175.0,-9999.0
89.5,-172.5,-9999.0
89.5,-170.0,-9999.0
89.5,-167.5,-9999.0
89.5,-165.0,-9999.0
89.5,-162.5,-9999.0
89.5,-160.0,-9999.0
89.5,-157.5,0.000386123
89.5,-155.0,-9999.0
89.5,-152.5,-9999.0
89.5,-150.0,-9999.0
89.5,-147.5,-9999.0
89.5,-145.0,-9999.0
89.5,-142.5,-9999.0
89.5,-140.0,-9999.0
89.5,-137.5,-9999.0
89.5,-135.0,-9999.0
89.5,-132.5,-9999.0
89.5,-130.0,0.000378177
89.5,-127.5,-9999.0
89.5,-125.0,-9999.0
89.5,-122.5,-9999.0
89.5,-120.0,-9999.0
89.5,-117.5,-9999.0
89.5,-115.0,-9999.0
89.5,-112.5,-9999.0
89.5,-110.0,0.000380156
89.5,-107.5,-9999.0
89.5,-105.0,-9999.0
89.5,-102.5,-9999.0
89.5,-100.0,-9999.0
89.5,-97.5,-9999.0
89.5,-95.0,-9999.0
89.5,-92.5,-9999.0
89.5,-90.0,0.000382943
89.5,-87.5,-9999.0
89.5,-85.0,-9999.0
89.5,-82.5,-9999.0
89.5,-80.0,-9999.0
89.5,-77.5,-9999.0
89.5,-75.0,-9999.0
89.5,-72.5,-9999.0
89.5,-70.0,-9999.0
89.5,-67.5,-9999.0
89.5,-65.0,-9999.0
89.5,-62.5,-9999.0
89.5,-60.0,-9999.0
89.5,-57.5,-9999.0
89.5,-55.0,-9999.0
89.5,-52.5,-9999.0
89.5,-50.0,-9999.0
89.5,-47.5,-9999.0
89.5,-45.0,-9999.0
89.5,-42.5,-9999.0
89.5,-40.0,-9999.0
89.5,-37.5,-9999.0
89.5,-35.0,-9999.0
89.5,-32.5,-9999.0
89.5,-30.0,-9999.0
89.5,-27.5,-9999.0
89.5,-25.0,-9999.0
89.5,-22.5,-9999.0
89.5,-20.0,-9999.0
89.5,-17.5,-9999.0
89.5,-15.0,0.000379255
89.5,-12.5,-9999.0
89.5,-10.0,-9999.0
89.5,-7.5,-9999.0
89.5,-5.0,-9999.0
89.5,-2.5,-9999.0
89.5,0.0,-9999.0
89.5,2.5,-9999.0
89.5,5.0,-9999.0
89.5,7.5,-9999.0
89.5,10.0,-9999.0
89.5,12.5,-9999.0
89.5,15.0,-9999.0
89.5,17.5,-9999.0
89.5,20.0,-9999.0
89.5,22.5,-9999.0
89.5,25.0,-9999.0
89.5,27.5,-9999.0
89.5,30.0,-9999.0
89.5,32.5,-9999.0
89.5,35.0,-9999.0
89.5,37.5,-9999.0
89.5,40.0,-9999.0
89.5,42.5,-9999.0
89.5,45.0,-9999.0
89.5,47.5,-9999.0
89.5,50.0,-9999.0
89.5,52.5,-9999.0
89.5,55.0,-9999.0
89.5,57.5,-9999.0
89.5,60.0,-9999.0
89.5,62.5,-9999.0
89.5,65.0,-9999.0
89.5,67.5,-9999.0
89.5,70.0,0.00038601598
89.5,72.5,-9999.0
89.5,75.0,-9999.0
89.5,77.5,-9999.0
89.5,80.0,-9999.0
89.5,82.5,-9999.0
89.5,85.0,-9999.0
89.5,87.5,-9999.0
89.5,90.0,-9999.0
89.5,92.5,-9999.0
89.5,95.0,-9999.0
89.5,97.5,-9999.0
89.5,100.0,-9999.0
89.5,102.5,-9999.0
89.5,105.0,-9999.0
89.5,107.5,-9999.0
89.5,110.0,-9999.0
89.5,112.5,-9999.0
89.5,115.0,-9999.0
89.5,117.5,0.000388633
89.5,120.0,-9999.0
89.5,122.5,-9999.0
89.5,125.0,-9999.0
89.5,127.5,-9999.0
89.5,130.0,-9999.0
89.5,132.5,-9999.0
89.5,135.0,-9999.0
89.5,137.5,0.000383893
89.5,140.0,-9999.0
89.5,142.5,-9999.0
89.5,145.0,-9999.0
89.5,147.5,-9999.0
89.5,150.0,-9999.0
89.5,152.5,-9999.0
89.5,155.0,0.000383298
89.5,157.5,-9999.0
89.5,160.0,-9999.0
89.5,162.5,-9999.0
89.5,165.0,-9999.0
89.5,167.5,-9999.0
89.5,170.0,-9999.0
89.5,172.5,-9999.0
89.5,175.0,-9999.0
89.5,177.5,-9999.0
88.0,-180.0,0.00038295652
88.0,-177.5,0.0003815275
88.0,-175.0,0.00038086926
88.0,-172.5,0.00037994998
88.0,-170.0,0.00037912274
88.0,-167.5,0.00037940702
88.0,-165.0,0.000383409
88.0,-162.5,0.00038232398
88.0,-160.0,0.00038023703
88.0,-157.5,0.00037849203
88.0,-155.0,0.000383266
88.0,-152.5,0.000382076
88.0,-150.0,-9999.0
88.0,-147.5,0.0003787605
88.0,-145.0,0.000380126
88.0,-142.5,0.000379126
88.0,-140.0,0.000381182
88.0,-137.5,0.0003853615
88.0,-135.0,0.00038112575
88.0,-132.5,0.00038265
88.0,-130.0,0.00038164933
88.0,-127.5,0.0003820205
88.0,-125.0,0.000375766
88.0,-122.5,0.00038527
88.0,-120.0,0.000379298
88.0,-117.5,0.00038264523
88.0,-115.0,0.000383369
88.0,-112.5,0.00038017935
88.0,-110.0,0.00037917076
88.0,-107.5,0.000382982
88.0,-105.0,0.0003798592
88.0,-102.5,0.000379093
88.0,-100.0,0.00038286502
88.0,-97.5,0.000382052
88.0,-95.0,0.00038265064
88.0,-92.5,0.0003778605
88.0,-90.0,0.00038078602
88.0,-87.5,0.00038312
88.0,-85.0,0.00038548402
88.0,-82.5,0.00038116198
88.0,-80.0,0.0003801265
88.0,-77.5,0.00037421798
88.0,-75.0,-9999.0
88.0,-72.5,0.000382706
88.0,-70.0,0.000381445
88.0,-67.5,0.00038310222
88.0,-65.0,-9999.0
88.0,-62.5,0.000382022
88.0,-60.0,0.000389312
88.0,-57.5,0.000381964
88.0,-55.0,0.0003812155
88.0,-52.5,0.00038055851
88.0,-50.0,0.0003804185
88.0,-47.5,0.000376428
88.0,-45.0,-9999.0
88.0,-42.5,0.00037908266
88.0,-40.0,0.0003816945
88.0,-37.5,0.0003807844
88.0,-35.0,0.000377189
88.0,-32.5,0.000375663
88.0,-30.0,0.00038039527
88.0,-27.5,0.00037667798
88.0,-25.0,0.0003864
88.0,-22.5,0.00038201467
88.0,-20.0,0.00038113698
88.0,-17.5,0.00037948132
88.0,-15.0,0.00038233402
88.0,-12.5,-9999.0
88.0,-10.0,0.00038112098
88.0,-7.5,-9999.0
88.0,-5.0,0.0003815992
88.0,-2.5,0.0003802015
88.0,0.0,0.000383439
88.0,2.5,0.000383982
88.0,5.0,0.0003832785
88.0,7.5,0.000376306
88.0,10.0,0.00037499898
88.0,12.5,-9999.0
88.0,15.0,0.0003775584
88.0,17.5,0.000386097
88.0,20.0,0.00037906764
88.0,22.5,0.00038543934
88.0,25.0,0.000374603
88.0,27.5,0.000380716
88.0,30.0,0.000385557
88.0,32.5,0.00038208035
88.0,35.0,0.00038195818
88.0,37.5,0.000378892
88.0,40.0,0.00038152564
