lat,lon,co2
89.5,-180.0,-9999.0
89.5,-177.5,-9999.0
89.5,-175.0,-9999.0
89.5,-172.5,-9999.0
89.5,-170.0,-9999.0
89.5,-167.5,-9999.0
89.5,-165.0,-9999.0
89.5,-162.5,-9999.0
89.5,-160.0,-9999.0
89.5,-157.5,-9999.0
89.5,-155.0,-9999.0
89.5,-152.5,-9999.0
89.5,-150.0,-9999.0
89.5,-147.5,-9999.0
89.5,-145.0,-9999.0
89.5,-142.5,-9999.0
89.5,-140.0,-9999.0
89.5,-137.5,-9999.0
89.5,-135.0,-9999.0
89.5,-132.5,-9999.0
89.5,-130.0,-9999.0
89.5,-127.5,-9999.0
89.5,-125.0,-9999.0
89.5,-122.5,-9999.0
89.5,-120.0,-9999.0
89.5,-117.5,-9999.0
89.5,-115.0,-9999.0
89.5,-112.5,0.000380333
89.5,-110.0,-9999.0
89.5,-107.5,-9999.0
89.5,-105.0,-9999.0
89.5,-102.5,-9999.0
89.5,-100.0,0.000374219
89.5,-97.5,-9999.0
89.5,-95.0,0.000374835
89.5,-92.5,-9999.0
89.5,-90.0,-9999.0
89.5,-87.5,-9999.0
89.5,-85.0,-9999.0
89.5,-82.5,-9999.0
89.5,-80.0,-9999.0
89.5,-77.5,-9999.0
89.5,-75.0,-9999.0
89.5,-72.5,-9999.0
89.5,-70.0,-9999.0
89.5,-67.5,-9999.0
89.5,-65.0,-9999.0
89.5,-62.5,0.000375364
89.5,-60.0,-9999.0
89.5,-57.5,-9999.0
89.5,-55.0,-9999.0
89.5,-52.5,-9999.0
89.5,-50.0,-9999.0
89.5,-47.5,-9999.0
89.5,-45.0,0.000371138
89.5,-42.5,-9999.0
89.5,-40.0,-9999.0
89.5,-37.5,-9999.0
89.5,-35.0,-9999.0
89.5,-32.5,-9999.0
89.5,-30.0,-9999.0
89.5,-27.5,-9999.0
89.5,-25.0,-9999.0
89.5,-22.5,-9999.0
89.5,-20.0,-9999.0
89.5,-17.5,-9999.0
89.5,-15.0,-9999.0
89.5,-12.5,-9999.0
89.5,-10.0,-9999.0
89.5,-7.5,-9999.0
89.5,-5.0,-9999.0
89.5,-2.5,-9999.0
89.5,0.0,-9999.0
89.5,2.5,-9999.0
89.5,5.0,-9999.0
89.5,7.5,-9999.0
89.5,10.0,-9999.0
89.5,12.5,-9999.0
89.5,15.0,-9999.0
89.5,17.5,-9999.0
89.5,20.0,-9999.0
89.5,22.5,-9999.0
89.5,25.0,0.00037033702
89.5,27.5,-9999.0
89.5,30.0,-9999.0
89.5,32.5,-9999.0
89.5,35.0,-9999.0
89.5,37.5,-9999.0
89.5,40.0,-9999.0
89.5,42.5,0.00037201098
89.5,45.0,-9999.0
89.5,47.5,-9999.0
89.5,50.0,-9999.0
89.5,52.5,-9999.0
89.5,55.0,-9999.0
89.5,57.5,-9999.0
89.5,60.0,-9999.0
89.5,62.5,-9999.0
89.5,65.0,-9999.0
89.5,67.5,-9999.0
89.5,70.0,-9999.0
89.5,72.5,-9999.0
89.5,75.0,-9999.0
89.5,77.5,-9999.0
89.5,80.0,-9999.0
89.5,82.5,-9999.0
89.5,85.0,-9999.0
89.5,87.5,-9999.0
89.5,90.0,0.000378481
89.5,92.5,-9999.0
89.5,95.0,-9999.0
89.5,97.5,-9999.0
89.5,100.0,-9999.0
89.5,102.5,-9999.0
89.5,105.0,-9999.0
89.5,107.5,-9999.0
89.5,110.0,-9999.0
89.5,112.5,0.000380076
89.5,115.0,-9999.0
89.5,117.5,-9999.0
89.5,120.0,-9999.0
89.5,122.5,-9999.0
89.5,125.0,0.000371191
89.5,127.5,0.000378787
89.5,130.0,-9999.0
89.5,132.5,-9999.0
89.5,135.0,-9999.0
89.5,137.5,-9999.0
89.5,140.0,-9999.0
89.5,142.5,-9999.0
89.5,145.0,-9999.0
89.5,147.5,-9999.0
89.5,150.0,-9999.0
89.5,152.5,-9999.0
89.5,155.0,-9999.0
89.5,157.5,-9999.0
89.5,160.0,-9999.0
89.5,162.5,-9999.0
89.5,165.0,-9999.0
89.5,167.5,-9999.0
89.5,170.0,-9999.0
89.5,172.5,-9999.0
89.5,175.0,-9999.0
89.5,177.5,-9999.0
88.0,-180.0,-9999.0
88.0,-177.5,0.00037819002
88.0,-175.0,0.0003747482
88.0,-172.5,0.0003929
88.0,-170.0,0.00037917067
88.0,-167.5,0.000379231
88.0,-165.0,0.000374208
88.0,-162.5,0.0003809125
88.0,-160.0,0.00037773568
88.0,-157.5,0.00037712266
88.0,-155.0,-9999.0
88.0,-152.5,0.000377055
88.0,-150.0,0.0003800169
88.0,-147.5,0.000385327
88.0,-145.0,0.00038002498
88.0,-142.5,0.00037687752
88.0,-140.0,0.000385157
88.0,-137.5,0.00037551517
88.0,-135.0,0.00037876848
88.0,-132.5,0.00037910475
88.0,-130.0,-9999.0
88.0,-127.5,0.00038159598
88.0,-125.0,0.00037474034
88.0,-122.5,0.00037579532
88.0,-120.0,-9999.0
88.0,-117.5,0.00037534136
88.0,-115.0,-9999.0
88.0,-112.5,0.0003727565
88.0,-110.0,0.000381282
88.0,-107.5,0.000381204
88.0,-105.0,0.000370776
88.0,-102.5,0.000369066
88.0,-100.0,0.00038241598
88.0,-97.5,-9999.0
88.0,-95.0,0.000379962
88.0,-92.5,0.000375239
88.0,-90.0,0.00037599952
88.0,-87.5,0.0003788135
88.0,-85.0,0.00037393
88.0,-82.5,0.00037737298
88.0,-80.0,0.0003804875
88.0,-77.5,0.00037899436
88.0,-75.0,0.000380022
88.0,-72.5,-9999.0
88.0,-70.0,0.0003770655
88.0,-67.5,0.000377402
88.0,-65.0,0.00037329597
88.0,-62.5,0.000377096
88.0,-60.0,0.00037877
88.0,-57.5,0.000377488
88.0,-55.0,0.00037529902
88.0,-52.5,0.00037934497
88.0,-50.0,0.00037580865
88.0,-47.5,0.000378282
88.0,-45.0,0.0003777545
88.0,-42.5,-9999.0
88.0,-40.0,-9999.0
88.0,-37.5,0.000375712
88.0,-35.0,-9999.0
88.0,-32.5,0.000375129
88.0,-30.0,-9999.0
88.0,-27.5,0.000378125
88.0,-25.0,0.00037641998
88.0,-22.5,0.000384023
88.0,-20.0,0.00037705648
88.0,-17.5,0.0003765435
88.0,-15.0,0.00037908068
88.0,-12.5,0.00037685674
88.0,-10.0,0.00038158701
88.0,-7.5,0.00038501734
88.0,-5.0,0.0003759365
88.0,-2.5,-9999.0
88.0,0.0,0.0003799545
88.0,2.5,0.0003816185
88.0,5.0,0.00037301402
88.0,7.5,0.00037660002
88.0,10.0,-9999.0
88.0,12.5,0.00038264165
88.0,15.0,0.0003772785
88.0,17.5,0.00037367098
88.0,20.0,0.000380743
88.0,22.5,0.00037337502
88.0,25.0,0.00038006477
88.0,27.5,0.0003807165
88.0,30.0,0.00037310633
88.0,32.5,0.00037378725
88.0,35.0,0.00038067802
88.0,37.5,0.0003771997
88.0,40.0,0.000380101
